region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,days_between_chargeoff_and_min_pay_date,days_between_judgment_and_min_pay_date,avg_days_between_payments,avg_monthly_payment(duration>=365days),avg_pay_to_chargeoff_ratio,avg_pay_to_judgment_ratio,closed_w_max_pmt_within_5_yrs_of_min_pmt
west,1,Dormant Judgment,15809.84,1,1,1,16256.27,1,1303.0,1,0,1,0,0,0,0,1,11.0,-1292.0,0.0,,9.487762051987876e-05,9.227208947686032e-05,0
southwest,1,Dormant Judgment,9048.95,1,1,1,9048.95,1,865.0,1,0,0,0,0,0,0,0,16.0,-849.0,0.0,,0.10620237707137291,0.10620237707137291,0
west,1,Dormant Judgment,9431.35,1,1,1,9781.35,1,1090.0,1,1,1,0,1,0,1,1,4.0,-1086.0,0.0,,0.10703663844518546,0.1032066125841525,0
northeast,1,Dormant Judgment,6499.94,1,1,1,6800.94,1,856.0,1,1,1,1,0,0,1,1,27.0,-829.0,0.0,,0.12939504056960527,0.12366819880781187,0
southwest,1,Dormant Judgment,8538.68,1,1,1,8538.68,1,170.0,1,1,0,0,0,0,1,0,16.0,-154.0,0.0,,0.05386312638487448,0.05386312638487448,0
southwest,1,Dormant Judgment,13467.8,1,0,1,13769.94,1,731.0,1,1,1,0,0,0,1,0,23.0,-708.0,0.0,,0.15536613255320098,0.1519570891376433,0
midwest,1,Dormant Judgment,10344.92,1,1,1,10692.12,1,1315.0,1,0,1,0,0,0,0,0,2.0,-1313.0,0.0,,0.09588474342962536,0.09277112490319973,0
midwest,0,Dormant Judgment,12184.49,1,0,1,12075.36,1,703.0,1,0,1,0,0,0,0,0,23.0,-680.0,0.0,,0.1518192390489877,0.15319129201945117,0
southwest,1,Dormant Judgment,5852.62,1,1,1,5852.62,1,800.0,1,0,0,0,0,0,1,1,20.0,-780.0,0.0,,0.10700677645225556,0.10700677645225556,0
northeast,1,Dormant Judgment,17639.09,1,1,1,16532.09,1,479.0,1,0,0,0,0,0,0,0,9.0,-470.0,0.0,,0.3837363492107586,0.40943159636803333,0
northeast,1,Dormant Judgment,18146.25,1,1,1,19798.75,1,443.0,1,0,0,0,0,0,0,0,20.0,-423.0,0.0,,0.2783484190948543,0.255116105814761,0
southwest,1,Dormant Judgment,11870.01,1,1,1,11870.01,1,737.0,1,0,0,0,0,0,1,1,5.0,-732.0,0.0,,0.13111025180265223,0.13111025180265223,0
southwest,0,Dormant Judgment,15506.9,1,1,1,10980.22,1,861.0,1,0,0,0,0,0,0,1,31.0,-830.0,0.0,,0.34126292166712885,0.48195118130602127,0
southwest,1,Dormant Judgment,15669.94,1,1,1,15669.94,1,892.0,1,0,0,0,0,0,1,1,1.0,-891.0,0.0,,0.11852119408242788,0.11852119408242788,0
midwest,1,Dormant Judgment,5967.3,1,0,1,6090.3,1,564.0,1,1,1,1,0,0,1,1,18.0,-546.0,136.375,39.41563627,0.029622484205587118,0.02902422704957063,0
southwest,1,Dormant Judgment,18831.7,1,1,1,19319.99,1,642.0,1,1,1,0,1,0,1,1,13.0,-629.0,0.0,,0.06603333740448286,0.06436442254887295,0
southwest,1,Dormant Judgment,11683.87,1,1,1,11683.87,1,534.0,1,0,0,0,0,0,1,1,13.0,-521.0,0.0,,0.06626143563733591,0.06626143563733591,0
