min_payment_within_5_years_of_chargeoff_predicted,obj1_predicted_proba,region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image
1,0.5126214198271434,northeast,1,Suit,10328.68,1,1,1,8964.58,1,977.0,1,1,1,0,0,0,1,0
1,0.6955793080329895,southeast,1,Suit,9525.84,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7888123976389566,midwest,1,Suit,17898.07,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6634035884539287,southeast,1,Suit,9028.25,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7468267803192138,midwest,1,Suit,13670.48,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6141299777030944,southeast,1,Suit,8441.23,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6744630352656047,midwest,1,Suit,7307.2,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6212988945643106,southeast,1,Suit,8147.6,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6150798700650533,southwest,1,Suit,10995.17,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.44774086912473043,southeast,1,Suit,6309.84,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4715613724390666,southeast,1,Dormant Judgment,,0,1,1,6000.0,1,75.0,1,0,1,0,0,0,1,1
0,0.17626083676020302,southeast,0,Dormant Judgment,,0,1,1,2766.14,1,22.0,1,0,1,0,0,0,0,1
0,0.24011337081591289,southeast,1,Dormant Judgment,,0,1,1,3596.87,1,148.0,1,0,1,0,0,0,0,0
0,0.17183820239702857,southeast,1,Dormant Judgment,,0,1,1,3649.01,1,172.0,1,0,1,0,0,0,0,1
1,0.5787443736394248,midwest,1,Suit,8590.93,1,1,1,8590.93,1,977.0,1,1,1,0,0,0,1,1
1,0.658211683591207,midwest,1,Suit,8657.9,1,1,1,7084.92,1,945.0,1,1,1,1,0,0,1,1
1,0.6212988945643106,southeast,1,Suit,8226.73,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.507919148683548,southwest,1,Suit,7687.99,1,0,1,,0,,1,1,1,0,0,0,0,0
1,0.5993657398223876,southwest,1,Suit,11885.04,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4718170177936555,southeast,1,Suit,8284.16,1,1,1,7095.04,1,1092.0,1,1,1,0,0,0,1,1
1,0.5528981111844381,southwest,1,Suit,10093.5,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4510144107341766,southwest,1,Suit,7526.73,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6268857750892639,southwest,1,Suit,13639.45,1,0,0,,0,,1,1,1,0,0,0,0,0
