data_id,region,data_state,account_status,purchasegroup,consumer_dob,chargeoff_age,working_age,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,data_bal_total,chargeoff_date,chargeoff_date_bom,chargeoffamt,chargeoffamt_present,judgment_status,judgment_active,acct_post_judgment,judgment_date,days_between_chargeoff_and_judgment,judgment_amount,judgment_amount_present,chargeoff_precovid(2020-03-01),judgment_precovid(2020-03-01),total_transactions,num_payments,num_reversals,net_num_payments,sum_pay_amount,avg_pay_amount,min_pay_date,max_pay_date,payment_duration_days,avg_days_between_payments,avg_monthly_payment(duration>=365days),days_between_chargeoff_and_min_pay_date,days_between_chargeoff_and_max_pay_date,days_between_judgment_and_min_pay_date,days_between_judgment_and_max_pay_date,min_payment_within_5_years_of_chargeoff,closed_w_max_pmt_within_5_yrs_of_min_pmt,max_pmt_within_5_yrs_of_min_pmt_within_5_yrs_of_chargeoff
145828,northeast,NJ,Closed (9); PIF,Dormant Judgment,01/01/1981,27,1,1,1,1,0,1,0,1,0,0,2007-11,01/11/2007,,0,Satisfied,0,1,20/04/2010,901,842.39,1,1,1,16,16,0,16,989.86,61.86625,19/07/2019,21/10/2020,461,28.75,65.35437922,4278,4738,3377,3837,0,1,
146050,southeast,GA,Closed (9); PIF,Dormant Judgment,01/01/1986,29,1,1,1,1,0,1,0,1,1,12.64,2015-04,01/04/2015,702.97,1,Satisfied,0,1,28/03/2016,362,811.97,1,1,1,3,3,0,3,1089.89,363.2966667,21/01/2020,22/04/2020,93,30.6667,,1756,1848,1394,1486,1,1,1
146055,west,CA,Closed (9); SIF,Dormant Judgment,01/01/1951,61,1,1,0,1,0,0,0,1,1,5547.6,2012-03,01/03/2012,,0,Dormant,0,1,29/01/2014,699,7115.32,1,1,1,1,1,0,1,5528.1,5528.1,28/08/2019,28/08/2019,1,0,,2736,2736,2037,2037,0,1,
146316,northeast,NY,Closed (9); PIF,Dormant Judgment,01/01/1965,46,1,1,1,1,0,1,0,1,0,0.01,2010-12,01/12/2010,1830.39,1,Active,1,1,30/01/2014,1156,1617.71,1,1,1,18,18,0,18,2321.88,128.9933333,15/05/2018,08/01/2019,239,13.2222,,2722,2960,1566,1804,0,1,
147146,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1961,42,1,1,1,1,0,0,0,1,1,8577.69,2003-06,01/06/2003,,0,Active,1,1,30/03/2007,1398,3021.52,1,1,1,7,7,0,7,280,40,05/02/2008,02/04/2009,423,60.2857,20.14742317,1710,2132,312,734,1,0,
147195,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1967,34,1,0,1,1,0,0,0,1,0,3638.9,2001-02,01/02/2001,,0,Active,1,1,25/07/2005,1635,2349.18,1,1,1,,,,,,,,,,,,,,,,0,,
147259,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1956,47,1,1,0,1,0,0,0,0,1,2566.43,2002-09,01/09/2002,,0,Dormant,0,1,15/07/2005,1048,1404.1,1,1,1,,,,,,,,,,,,,,,,0,,
147328,northeast,NY,Placement (3); Active,Dormant Judgment,01/01/1977,27,1,1,0,1,0,0,0,0,0,2028.23,2004-03,01/03/2004,,0,Active,1,1,09/05/2006,799,1803.53,1,1,1,1,1,0,1,1200,1200,13/01/2009,13/01/2009,1,0,,1779,1779,980,980,1,0,
147552,southeast,FL,Pending Allocation (1); Recalled | Contractual,Dormant Judgment,01/01/1953,50,1,1,1,1,0,1,0,0,1,5701.36,2003-03,01/03/2003,,0,Active,1,1,06/06/2007,1558,3640.26,1,1,1,26,18,8,10,2221.35,222.135,23/03/2009,15/11/2011,968,96.7,69.84631193,2214,3181,656,1623,0,0,
147600,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1969,35,1,1,1,1,0,0,0,1,0,1525.92,2004-01,01/01/2004,,0,Dormant,0,1,24/04/2006,844,1178.98,1,1,1,,,,,,,,,,,,,,,,0,,
